temperature,vibration,machine_age,error_count,failure
72.02,2.87,8,0,0
70.5,3.45,3,1,0
98.46,2.02,12,6,1
92.59,4.34,14,8,1
65.83,3.73,13,7,0
51.79,0.81,11,10,0
99.87,3.86,7,1,0
85.19,0.95,3,4,0
52.3,4.08,5,5,1
57.28,2.89,10,10,0
58.5,0.86,14,6,0
62.04,4.61,3,3,0
62.7,1.65,1,7,0
83.88,1.21,8,5,0
64.96,4.83,12,4,1
65.11,5.0,14,7,1
69.07,2.12,5,4,1
91.5,2.28,1,9,0
88.92,4.88,15,9,1
91.64,4.56,13,3,1
67.62,3.36,10,4,1
86.05,3.47,14,2,1
95.17,3.41,5,7,1
68.24,1.09,15,4,1
70.78,1.4,13,8,0
68.29,2.76,5,2,0
91.23,2.67,13,4,1
66.94,1.02,2,2,0
61.28,3.54,11,6,0
90.23,2.15,13,6,1
76.83,2.55,11,10,1
69.05,3.37,6,1,0
73.57,3.29,9,5,0
61.07,0.78,14,7,0
65.11,2.34,3,0,0
65.22,2.72,2,3,0
56.78,2.54,11,8,1
87.11,1.2,7,10,1
74.47,2.34,5,0,0
60.86,2.5,4,5,1
84.28,2.95,11,5,1
63.79,4.86,14,7,1
60.61,3.38,1,0,0
62.18,1.07,10,3,1
88.26,1.43,4,3,0
57.38,4.55,1,4,0
57.23,1.08,5,2,0
93.32,1.09,6,3,0
50.79,1.69,3,6,0
87.28,2.64,13,5,1
55.45,2.77,10,0,0
95.44,3.47,5,7,1
51.56,4.99,14,6,1
55.4,3.71,8,1,0
66.11,1.17,3,4,0
79.27,3.7,7,9,1
72.69,3.22,2,1,0
82.55,3.96,12,3,1
94.4,2.36,14,7,1
86.48,1.91,6,10,1
97.68,3.59,8,1,1
54.27,2.44,12,5,0
77.82,3.14,9,8,1
56.11,2.09,11,6,0
86.05,4.86,10,4,1
78.9,1.46,11,7,1
55.41,4.3,6,1,0
78.71,4.13,14,8,0
90.92,3.26,11,8,1
96.45,4.23,5,0,1
85.13,1.89,6,5,1
93.49,3.05,7,1,1
81.66,0.64,12,8,1
70.99,2.03,6,4,0
88.84,3.05,2,0,1
87.72,0.72,2,4,1
71.2,3.23,7,4,1
75.62,2.05,2,4,0
79.66,2.87,5,0,0
99.22,0.75,4,4,0
88.37,3.94,5,5,1
74.87,2.44,3,6,0
61.51,3.01,11,5,1
93.09,0.69,1,7,0
93.11,3.09,10,6,1
70.88,1.02,1,5,1
97.38,2.57,12,5,1
92.22,1.59,10,6,1
69.79,1.9,6,3,0
58.41,2.8,2,8,0
95.3,2.07,12,10,0
61.81,1.16,4,2,0
88.01,3.45,3,10,1
87.72,3.92,8,10,0
78.22,3.36,10,5,0
81.36,1.18,2,7,1
65.14,1.74,1,5,0
65.52,2.53,1,5,0
53.84,4.39,14,1,0
75.35,2.58,9,0,0
90.49,3.43,6,9,1
57.54,0.78,2,5,0
54.22,3.41,1,3,0
99.55,2.86,10,2,1
95.9,2.24,13,5,1
52.62,3.34,6,1,1
77.9,2.24,5,10,0
80.14,1.18,2,9,0
95.84,1.9,11,10,1
79.75,4.72,5,8,1
89.58,4.16,11,10,1
54.67,3.52,9,5,1
65.44,4.78,6,7,1
100.0,1.2,5,1,0
76.99,3.82,9,0,0
93.82,3.28,10,6,1
59.04,3.62,10,2,0
52.18,2.14,12,3,0
80.53,3.89,13,7,1
61.96,4.85,13,7,0
59.7,3.55,10,7,1
64.09,2.22,9,6,0
90.84,4.11,3,4,1
74.03,2.17,15,1,0
75.8,1.06,2,2,0
95.27,1.16,7,1,0
61.1,2.53,6,0,0
69.82,2.18,7,1,0
51.41,4.69,14,10,1
57.3,0.67,15,7,0
56.94,3.67,8,9,1
53.96,1.65,14,2,0
86.36,2.87,2,4,1
56.09,1.57,11,9,1
55.54,4.57,10,8,1
75.77,1.59,3,4,0
80.74,1.58,7,2,0
54.28,4.89,2,8,1
89.32,2.78,1,6,0
52.18,2.24,6,4,0
67.85,0.8,4,10,0
88.58,3.81,6,2,1
77.3,4.16,3,10,1
84.77,3.34,13,2,1
88.81,2.56,5,3,1
59.97,0.69,15,4,1
99.46,2.94,5,0,0
59.56,2.11,13,0,0
66.6,1.06,6,6,0
87.17,4.53,7,5,0
74.81,2.74,15,8,1
54.13,2.41,7,9,0
59.02,1.82,2,1,0
64.78,2.51,12,6,1
72.2,2.51,12,5,0
71.75,3.38,13,0,1
81.88,2.13,13,10,1
51.56,4.32,11,7,1
53.36,4.0,6,5,1
78.36,3.22,11,7,0
68.6,3.93,10,2,1
69.9,3.42,4,1,1
59.3,2.83,15,8,1
88.75,3.67,4,9,1
95.82,2.71,2,2,0
72.6,4.54,8,1,0
98.38,4.94,11,5,1
77.5,1.81,5,2,0
96.37,3.37,13,5,1
56.07,1.4,3,3,0
51.31,2.99,6,7,0
77.58,3.25,2,1,1
99.98,3.73,9,6,1
91.17,0.83,6,10,1
73.29,2.83,3,8,0
59.1,4.85,7,8,0
52.77,1.06,3,4,1
66.13,3.69,6,8,0
92.3,1.63,11,8,1
81.25,3.26,2,8,1
79.59,3.11,3,10,1
95.1,2.02,15,9,1
93.19,0.87,11,9,1
60.54,3.07,10,10,1
94.45,2.96,11,4,1
90.23,3.58,5,7,1
53.0,2.48,8,7,1
80.33,1.91,12,5,1
93.04,4.89,3,5,1
55.31,1.59,2,4,0
57.04,0.73,7,9,0
98.13,4.56,14,5,1
86.06,1.35,3,7,0
73.34,4.46,8,0,1
69.66,2.56,4,3,0
52.43,1.77,10,10,0
64.29,0.54,2,6,1
63.22,2.15,7,5,1
52.56,3.03,6,8,1
69.32,2.53,9,4,0
81.16,3.25,3,1,1
89.74,2.03,6,2,1
75.46,2.75,1,0,0
66.65,2.63,8,2,0
75.78,1.98,10,5,1
99.53,3.83,5,9,1
91.41,2.9,12,9,1
90.79,2.16,11,1,0
79.19,4.09,12,10,1
73.73,4.85,13,9,1
86.07,3.13,3,8,1
80.99,4.29,3,10,1
78.63,3.65,4,0,0
70.94,2.36,4,6,0
80.57,2.62,14,0,0
75.93,3.02,11,7,1
65.69,1.28,15,8,1
67.71,3.97,12,10,1
84.67,3.25,4,3,1
64.92,4.74,5,4,0
84.51,2.7,8,5,1
96.72,3.75,5,1,1
77.16,4.53,7,5,0
90.23,1.81,5,1,0
72.12,1.65,8,3,0
76.93,4.7,12,4,1
80.78,3.14,4,0,0
76.55,3.37,1,1,0
85.87,0.95,13,2,1
77.52,4.68,7,10,0
93.92,2.65,4,4,1
82.29,4.59,2,10,1
76.76,3.75,15,0,0
58.75,4.47,3,0,0
69.85,2.73,15,4,0
50.46,3.06,2,5,1
99.45,2.94,8,2,0
73.4,1.37,2,5,1
72.95,1.66,3,0,0
89.54,3.06,13,3,1
92.81,4.54,14,6,1
54.34,3.51,3,2,0
96.79,0.53,7,3,0
63.35,1.98,10,9,1
82.68,3.62,1,10,1
65.34,2.32,9,4,0
81.94,4.73,6,9,1
97.87,2.65,8,9,1
85.1,4.61,13,8,1
91.28,3.93,11,9,1
54.09,2.51,12,5,1
78.21,0.78,9,8,1
76.83,1.24,14,8,1
84.01,3.73,8,1,0
72.27,0.75,3,8,0
78.2,3.01,11,4,1
69.8,4.17,12,3,0
52.26,2.05,2,8,0
96.73,0.81,15,7,1
70.44,3.96,13,10,0
82.29,2.39,15,6,1
95.86,2.2,2,10,0
93.73,1.1,14,5,1
99.64,2.27,3,3,0
87.81,4.9,8,10,1
71.21,2.21,4,3,0
57.76,1.35,15,1,1
83.01,3.27,15,0,1
53.36,3.17,8,9,0
93.61,1.6,1,6,1
76.99,3.89,13,0,1
99.67,1.55,15,9,1
79.9,3.53,6,3,1
57.16,3.47,4,6,1
53.05,4.77,15,2,0
71.36,2.73,6,10,0
89.29,1.93,7,6,1
68.82,3.89,8,3,0
65.04,3.68,13,7,0
78.12,4.86,9,8,1
62.14,1.42,11,1,0
92.36,0.92,12,3,1
68.86,3.22,1,1,1
88.08,3.76,9,3,1
93.47,2.0,15,0,1
59.5,3.84,12,7,0
84.78,3.67,7,3,1
88.78,2.21,9,10,1
63.08,2.81,8,7,1
99.07,2.61,14,5,0
68.54,2.36,10,3,0
50.81,2.99,10,9,0
64.76,1.38,4,6,0
62.29,2.98,11,5,1
91.08,4.85,11,7,1
86.64,2.08,3,8,1
95.84,2.94,11,0,0
91.95,0.83,14,10,1
50.32,1.12,11,3,1
57.55,1.48,8,5,1
81.89,4.7,15,7,1
50.79,2.89,7,0,1
86.11,2.91,5,0,0
84.89,2.44,15,2,1
54.82,1.17,4,9,0
